Sample	Type	Household	Household_code_name	Area	Room	SurfaceTouchFrequency	SurfaceDeposition	Occupancy	Individual	Window	Temperature	Humidity
SW-3Y-LF	Skin	Sai Wan	SW	Left Forearm	NA	NA	NA	Low	SW 3Y	Open	NA	NA
SW-3Y-LP	Skin	Sai Wan	SW	Left Palm	NA	NA	NA	Low	SW 3Y	Open	NA	NA
SW-3Y-RF	Skin	Sai Wan	SW	Right Forearm	NA	NA	NA	Low	SW 3Y	Open	NA	NA
SW-3Y-RP	Skin	Sai Wan	SW	Right Palm	NA	NA	NA	Low	SW 3Y	Open	NA	NA
SW-3Z-FOH	Skin	Sai Wan	SW	Forehead	NA	NA	NA	Low	SW 3Z	Open	NA	NA
SW-3Z-LF	Skin	Sai Wan	SW	Left Forearm	NA	NA	NA	Low	SW 3Z	Open	NA	NA
SW-3Z-LP	Skin	Sai Wan	SW	Left Palm	NA	NA	NA	Low	SW 3Z	Open	NA	NA
SW-3Z-RF	Skin	Sai Wan	SW	Right Forearm	NA	NA	NA	Low	SW 3Z	Open	NA	NA
SW-3Z-RP	Skin	Sai Wan	SW	Right Palm	NA	NA	NA	Low	SW 3Z	Open	NA	NA
SW1BRWIN	Air	Sai Wan	SW	Bedroom	Bedroom	NA	NA	Low	NA	Open	20.35	54.2
SW1KCWIN	Air	Sai Wan	SW	Kitchen	Kitchen	NA	NA	Low	NA	Open	20.35	54.2
SW1LRWIN	Air	Sai Wan	SW	Living Room	Living Room	NA	NA	Low	NA	Open	20.35	54.2
SW1TLWIN	Air	Sai Wan	SW	Toilet	Bathroom	NA	NA	Low	NA	Open	20.35	54.2
SW2BHBWIN	Surface	Sai Wan	SW	Bed Headboard	Bedroom	High	Low	Low	NA	Open	NA	NA
SW2BLKWIN	Surface	Sai Wan	SW	Blanket	Bedroom	High	High	Low	NA	Open	NA	NA
SW2FDSWIN	Surface	Sai Wan	SW	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Open	NA	NA
SW2KVTWIN	Surface	Sai Wan	SW	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Open	NA	NA
SW2RMCWIN	Surface	Sai Wan	SW	Remote Control	Living Room	High	Low	Low	NA	Open	NA	NA
